player,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy
Youssoufa Moukoko,FW,Germany,18-028,2004,1,1,1,0.4,0.0,0,,0,1,1,2,0.00,0,0,0,0.00,-0.33,0.3,0.0,+0.3,+24.08,+21.94
Youstin Salas,DF,Costa Rica,26-184,1996,2,47,24,17.4,0.5,0,,0,2,24,1,1.50,2,3,-1,-1.91,+0.91,1.1,4.4,-3.3,-6.30,-4.12
Yuki Soma,FW,Japan,25-296,1997,1,81,81,20.8,0.9,1,81,0,0,,3,0.00,0,1,-1,-1.11,-1.69,0.7,0.1,+0.6,+0.63,+0.98
Yunus Musah,MF,United States,20-019,2002,4,343,86,95.3,3.8,4,86,3,0,,0,1.25,3,3,0,0.00,+5.29,3.9,3.5,+0.5,+0.12,+4.33
Yussuf Poulsen,FW,Denmark,28-186,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Yuto Nagatomo,MF,Japan,36-097,1986,4,209,52,53.6,2.3,4,52,0,0,,0,1.75,1,3,-2,-0.86,-2.35,1.3,3.4,-2.1,-0.89,-1.59
Zakaria Aboukhlal,FW,Morocco,22-303,2000,4,79,20,12.0,0.9,0,,0,4,20,3,2.25,2,1,+1,+1.14,+1.14,2.4,2.0,+0.4,+0.50,+0.69
Zeno Debast,DF,Belgium,19-055,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Álvaro Morata,FW,Spain,30-056,1992,4,185,46,47.4,2.1,1,56,0,3,43,0,1.25,5,3,+2,+0.97,-0.78,2.8,2.8,0.0,+0.01,-1.03
Álvaro Zamora,MF,Costa Rica,20-284,2002,1,30,30,11.1,0.3,0,,0,1,30,2,0.00,0,3,-3,-9.00,-7.13,0.0,0.9,-0.9,-2.57,+0.37
Ángel Correa,MF,Argentina,27-284,1995,1,5,5,0.7,0.1,0,,0,1,5,6,3.00,0,0,0,0.00,-0.92,0.0,0.1,-0.1,-1.78,-3.18
Ángel Di María,MF,Argentina,34-307,1988,5,288,58,41.7,3.2,4,70,1,1,9,2,1.60,5,2,+3,+0.94,+0.04,6.8,0.8,+6.0,+1.92,+0.91
Ángel Mena,FW,Ecuador,34-331,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ángelo Preciado,DF,Ecuador,24-303,1998,3,264,88,97.8,2.9,3,88,2,0,,0,1.33,4,3,+1,+0.34,+0.34,3.6,2.5,+1.1,+0.37,-0.79
Éder Militão,DF,Brazil,24-334,1998,4,347,87,72.3,3.9,4,87,2,0,,1,1.75,6,1,+5,+1.30,+1.30,9.1,1.5,+7.5,+1.95,+0.34
Óscar Duarte,DF,Costa Rica,33-198,1989,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,11,-8,-2.67,,1.4,10.1,-8.7,-2.90,
İlkay Gündoğan,MF,Germany,32-055,1990,3,189,63,70.0,2.1,3,63,0,0,,0,1.33,2,1,+1,+0.48,+0.48,3.6,1.3,+2.3,+1.10,-3.74
Łukasz Skorupski,GK,Poland,31-227,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,
